date,SP500
,SPY
2005-08-11,91.0501482419
2005-08-12,90.4912862264
2005-08-15,91.0501482419
2005-08-16,89.8662455629
2005-08-17,89.858890664
2005-08-18,89.8515409125
2005-08-19,90.0574361673
2005-08-22,90.0574361673
2005-08-23,89.8883051122
2005-08-24,89.0867843774
2005-08-25,89.4103308071
2005-08-26,88.8000006767
2005-08-29,89.4838695014
2005-08-30,89.0132508305
2005-08-31,90.1383246131
2005-09-01,90.0721408177
2005-09-02,89.9103646615
2005-09-06,90.9619048972
2005-09-07,91.1163320373
2005-09-08,90.8148385388
2005-09-09,91.6237141725
2005-09-12,91.439878467
2005-09-13,90.9324963317
2005-09-14,90.601588385
2005-09-15,90.5574700217
2005-09-16,91.1984595357
2005-09-19,90.8956924653
2005-09-20,90.1277106067
2005-09-21,89.285879411
2005-09-22,89.6034066014
2005-09-23,89.6772559386
2005-09-26,89.7806388077
2005-09-27,89.7584860742
2005-09-28,89.8470962698
2005-09-29,90.5781652749
2005-09-30,90.8587737042
2005-10-03,90.5338539003
2005-10-04,89.5147964058
2005-10-05,88.3406594386
2005-10-06,88.0231263406
2005-10-07,88.3258934111
2005-10-10,87.58005764
2005-10-11,87.4545227758
2005-10-12,86.7677651453
2005-10-13,86.7160737108
2005-10-14,87.6317490746
2005-10-17,87.9566688785
2005-10-18,87.0040688461
2005-10-19,88.4514282752
2005-10-20,86.8933000095
2005-10-21,87.232985841
2005-10-24,88.5843491069
2005-10-25,88.4071228082
2005-10-26,88.1486671123
2005-10-27,87.2108331075
2005-10-28,88.4662002103
2005-10-31,88.7098839711
2005-11-01,88.975726373
2005-11-02,89.9061736719
2005-11-03,90.2901649703
2005-11-04,90.1720160737
2005-11-07,90.2606314384
2005-11-08,90.2606314384
2005-11-09,90.3787803351
2005-11-10,91.0803047315
2005-11-11,91.3904577695
2005-11-14,91.338766335
2005-11-15,91.0064613019
2005-11-16,91.1910735682
2005-11-17,92.0402907315
2005-11-18,92.4021292964
2005-11-21,92.8673558997
2005-11-22,93.2661191333
2005-11-23,93.805183997
2005-11-25,93.8790274266
2005-11-28,93.2144276987
2005-11-29,93.1110396605
2005-11-30,92.6089002038
2005-12-01,93.5541135302
2005-12-02,93.6722624268
2005-12-05,93.472884133
2005-12-06,93.6501104317
2005-12-07,93.1036596005
2005-12-08,93.0445821984
2005-12-09,93.2882718668
2005-12-12,93.3768820623
2005-12-13,94.0119489967
2005-12-14,94.3811735293
2005-12-15,94.107950329
2005-12-16,93.8064186838
2005-12-19,93.3238738969
2005-12-20,93.4129610413
2005-12-21,93.5614336764
2005-12-22,94.0514029488
2005-12-23,94.1033691506
2005-12-27,93.145705547
2005-12-28,93.3535696117
2005-12-29,92.9378414823
2005-12-30,92.4330269508
2006-01-03,94.05882298
2006-01-04,94.5042520209
2006-01-05,94.5636375115
2006-01-06,95.3505579931
2006-01-09,95.5955430005
2006-01-10,95.6920442372
2006-01-11,95.9964206742
2006-01-12,95.6178134875
2006-01-13,95.5287211464
2006-01-17,95.2688968189
2006-01-18,94.8902844355
2006-01-19,95.2540463632
2006-01-20,93.5168927025
2006-01-23,93.8509589153
2006-01-24,93.9474712876
2006-01-25,94.0291332042
2006-01-26,94.5487929948
2006-01-27,95.4247887428
2006-01-30,95.3505579931
2006-01-31,94.652724656
2006-02-01,95.3134370504
2006-02-02,94.2073015541
2006-02-03,93.7396020263
2006-02-06,93.9845862913
2006-02-07,93.1531307748
2006-02-08,93.9994374894
2006-02-09,93.8435396265
2006-02-10,94.0142820061
2006-02-13,93.8435396265
2006-02-14,94.8383182338
2006-02-15,95.1723844466
2006-02-16,95.8850689818
2006-02-17,95.6252335187
2006-02-21,95.3876789358
2006-02-22,95.966730156
2006-02-23,95.8256775522
2006-02-24,96.0706625596
